Jan.,Feb.,Mar.,Apr.,May,June,July,Aug.,Sep.,Oct.,Nov.,Dec.
0.04,0.0,0.03,0.0,0.0,0.03,0.04,0.11,0.23,0.3,0.49,0.57
0.01,0.01,0.01,0.01,0.02,0.07,0.09,0.18,0.33,0.41,0.61,0.67
0.0,0.05,0.0,0.04,0.05,0.12,0.15,0.27,0.44,0.52,0.71,0.77
0.03,0.11,0.03,0.09,0.1,0.19,0.22,0.37,0.55,0.64,0.81,0.85
0.09,0.19,0.07,0.15,0.17,0.27,0.31,0.47,0.66,0.74,0.89,0.92
0.16,0.28,0.13,0.23,0.24,0.36,0.41,0.58,0.77,0.84,0.95,0.96
0.25,0.37,0.21,0.31,0.33,0.46,0.51,0.69,0.86,0.91,0.98,0.99
0.35,0.47,0.29,0.4,0.42,0.56,0.62,0.79,0.93,0.97,1.0,1.0
0.45,0.56,0.38,0.49,0.52,0.66,0.73,0.88,0.98,0.99,0.99,0.99
0.55,0.65,0.48,0.59,0.62,0.76,0.82,0.95,1.0,1.0,0.97,0.96
0.64,0.74,0.57,0.68,0.72,0.85,0.9,0.99,0.99,0.98,0.93,0.92
0.73,0.82,0.66,0.77,0.81,0.92,0.96,1.0,0.96,0.94,0.87,0.86
0.81,0.88,0.75,0.85,0.88,0.98,0.99,0.98,0.91,0.88,0.8,0.79
0.88,0.94,0.83,0.92,0.95,1.0,1.0,0.93,0.84,0.81,0.72,0.7
0.93,0.98,0.9,0.97,0.99,0.99,0.97,0.87,0.75,0.73,0.63,0.61
0.97,1.0,0.95,0.99,1.0,0.95,0.91,0.79,0.66,0.64,0.53,0.52
0.99,1.0,0.98,1.0,0.98,0.89,0.84,0.7,0.57,0.55,0.44,0.42
1.0,0.97,1.0,0.97,0.94,0.81,0.74,0.6,0.47,0.46,0.34,0.32
0.98,0.93,0.99,0.92,0.87,0.71,0.64,0.5,0.38,0.36,0.25,0.22
0.95,0.87,0.96,0.85,0.78,0.6,0.54,0.4,0.29,0.27,0.17,0.14
0.9,0.79,0.9,0.75,0.68,0.49,0.44,0.31,0.21,0.19,0.1,0.07
0.83,0.69,0.82,0.65,0.56,0.39,0.34,0.23,0.14,0.12,0.04,0.02
0.75,0.58,0.73,0.53,0.45,0.29,0.25,0.15,0.08,0.06,0.01,0.0
0.65,0.47,0.62,0.42,0.35,0.21,0.18,0.09,0.03,0.02,0.0,0.01
0.54,0.36,0.5,0.31,0.25,0.13,0.11,0.05,0.01,0.0,0.02,0.05
0.43,0.25,0.39,0.22,0.17,0.08,0.06,0.01,0.0,0.01,0.07,0.12
0.32,0.16,0.28,0.14,0.1,0.03,0.02,0.0,0.02,0.04,0.15,0.2
0.22,0.08,0.19,0.07,0.05,0.01,0.0,0.01,0.06,0.1,0.24,0.3
0.13,,0.11,0.03,0.02,0.0,0.0,0.04,0.12,0.18,0.34,0.41
0.06,,0.05,0.0,0.0,0.01,0.02,0.08,0.2,0.27,0.46,0.52
0.02,,0.01,,0.01,,0.06,0.15,,0.38,,0.62
